cluster_id,industry_final,count
9,Information Technology Enabled Services (ITeS),531
9,Legal Services,66
9,Professional Services & Consulting,190
9,Transport & Logistics Services,36
9,Unknown,49
9,accounting,82
9,airlines/aviation,17
9,apparel & fashion,33
9,automotive,70
9,aviation & aerospace,16
9,banking,62
9,biotechnology,21
9,broadcast media,28
9,building materials,89
9,business supplies and equipment,27
9,capital markets,15
9,chemicals,38
9,civic & social organization,31
9,civil engineering,29
9,computer networking,58
9,computer software,301
9,construction,110
9,consumer services,15
9,defense & space,42
9,design,9
9,education management,155
9,electrical/electronic manufacturing,14
9,entertainment,37
9,environmental services,21
9,financial services,650
9,food production,17
9,government administration,111
9,graphic design,40
9,higher education,89
9,hospital & health care,244
9,hospitality,16
9,human resources,147
9,industrial automation,54
9,information technology and services,810
9,insurance,191
9,internet,152
9,investment banking,37
9,"leisure, travel & tourism",58
9,management consulting,159
9,market research,60
9,marketing and advertising,179
9,medical devices,36
9,mental health care,24
9,mining & metals,38
9,oil & energy,68
9,package/freight delivery,39
9,paper & forest products,30
9,pharmaceuticals,90
9,photography,17
9,program development,16
9,real estate,39
9,retail,183
9,semiconductors,18
9,sports,40
9,staffing and recruiting,406
9,telecommunications,45
9,textiles,9
9,transportation/trucking/railroad,37
9,utilities,15
9,warehousing,18
9,wholesale,97
10,Healthcare & Social Assistance,1081
10,Unknown,1132
10,accounting,83
10,commercial real estate,9
10,computer software,119
10,consumer services,31
10,education management,99
10,facilities services,14
10,"health, wellness and fitness",249
10,higher education,360
10,hospital & health care,3058
10,human resources,136
10,information technology and services,45
10,internet,47
10,mechanical or industrial engineering,14
10,medical practice,95
10,public safety,18
10,religious institutions,54
10,restaurants,52
10,staffing and recruiting,254
10,telecommunications,17
10,textiles,320
10,veterinary,18
10,wholesale,5
11,Healthcare & Social Assistance,2527
11,Medical Value Travel,79
11,Unknown,88
11,architecture & planning,17
11,automotive,61
11,biotechnology,19
11,civic & social organization,32
11,computer software,94
11,construction,169
11,education management,39
11,events services,21
11,"health, wellness and fitness",146
11,higher education,87
11,hospital & health care,4026
11,human resources,19
11,information services,22
11,information technology and services,28
11,internet,62
11,legal services,16
11,marketing and advertising,62
11,mechanical or industrial engineering,71
11,medical devices,87
11,medical practice,413
11,non-profit organization management,68
11,religious institutions,8
11,research,162
11,retail,156
11,staffing and recruiting,2024
11,textiles,13
11,veterinary,26
12,Healthcare & Social Assistance,290
12,hospital & health care,486
12,military,13
12,staffing and recruiting,2262
13,Healthcare & Social Assistance,2647
13,Medical Value Travel,99
13,Unknown,771
13,biotechnology,27
13,civil engineering,232
13,computer software,74
13,consumer services,17
13,education management,149
13,government administration,9
13,"health, wellness and fitness",154
13,higher education,468
13,hospital & health care,3978
13,human resources,83
13,information technology and services,149
13,insurance,70
13,internet,13
13,legal services,60
13,management consulting,36
13,marketing and advertising,13
13,medical practice,198
13,pharmaceuticals,57
13,retail,222
13,staffing and recruiting,1151
13,textiles,43
13,veterinary,65
13,wholesale,30
13,writing and editing,51
14,Cybersecurity,16
14,Environmental Services,63
14,Food Processing,19
14,Gems & Jewellery,40
14,Healthcare & Social Assistance,16
14,Information Technology Enabled Services (ITeS),339
14,Leather & Footwear,15
14,"Marketing, Advertising & PR",121
14,Medical Value Travel,15
14,Professional Services & Consulting,140
14,Real Estate & Property Management,34
14,Retail & E-commerce,573
14,Tourism & Hospitality,24
14,Transport & Logistics Services,183
14,Unknown,598
14,airlines/aviation,28
14,apparel & fashion,13
14,architecture & planning,29
14,automotive,432
14,aviation & aerospace,61
14,banking,42
14,biotechnology,7
14,building materials,112
14,business supplies and equipment,68
14,chemicals,52
14,civil engineering,18
14,computer & network security,75
14,computer hardware,36
14,computer software,212
14,construction,218
14,consumer goods,157
14,consumer services,74
14,dairy,16
14,defense & space,22
14,electrical/electronic manufacturing,136
14,entertainment,47
14,environmental services,15
14,facilities services,23
14,financial services,130
14,food & beverages,46
14,food production,15
14,furniture,49
14,gambling & casinos,26
14,government administration,26
14,"health, wellness and fitness",56
14,hospital & health care,21
14,hospitality,90
14,human resources,82
14,industrial automation,59
14,information technology and services,160
14,insurance,140
14,internet,120
14,investment management,22
14,law practice,16
14,legal services,21
14,"leisure, travel & tourism",15
14,logistics and supply chain,41
14,luxury goods & jewelry,15
14,management consulting,125
14,marketing and advertising,86
14,mechanical or industrial engineering,70
14,medical devices,30
14,mental health care,33
14,mining & metals,24
14,oil & energy,59
14,performing arts,31
14,pharmaceuticals,43
14,printing,18
14,professional training & coaching,36
14,program development,13
14,railroad manufacture,34
14,real estate,72
14,renewables & environment,18
14,restaurants,31
14,retail,408
14,security and investigations,60
14,sports,14
14,staffing and recruiting,615
